model,year_month,sales
L9,2022-09,4000
L9,2022-10,8433
L9,2022-11,10123
L9,2022-12,21000
L9,2023-01,15141
L9,2023-02,16620
L9,2023-03,20823
L9,2023-04,25681
L9,2023-05,28277
L9,2023-06,32575
L9,2023-07,34134
L9,2023-08,36060
L8,2023-05,5000
L8,2023-06,9384
L8,2023-07,12467
L8,2023-08,14000
L8,2023-09,14000
L8,2023-10,14000
L8,2023-11,14000
L8,2023-12,18000
L8,2024-01,16000
L8,2024-02,15000
L8,2024-03,14000
L8,2024-04,13000
L7,2023-08,8000
L7,2023-09,10000
L7,2023-10,12000
L7,2023-11,12000
L7,2023-12,16000
L7,2024-01,14000
L7,2024-02,13000
L7,2024-03,12000
L7,2024-04,12000
L7,2024-05,11000
L7,2024-06,11000
L7,2024-07,10000
MEGA,2024-03,4000
MEGA,2024-04,3000
MEGA,2024-05,2500
MEGA,2024-06,2000
MEGA,2024-07,2000
MEGA,2024-08,2000
MEGA,2024-09,2000
MEGA,2024-10,2000
MEGA,2024-11,2000
MEGA,2024-12,2000
MEGA,2025-01,1800
MEGA,2025-02,1800
L6,2024-05,8000
L6,2024-06,12000
L6,2024-07,15000
L6,2024-08,18000
L6,2024-09,20000
L6,2024-10,22000
L6,2024-11,22000
L6,2024-12,25000
L6,2025-01,23000
L6,2025-02,22000
L6,2025-03,24000
L6,2025-04,25000
